"weight";"word";"color";"url"
"4";"AI";"#344fff";"opencv.html"
"4";"C++";"";"cpp.html"
"4";"Control";"";""
"4";"Fusing";"";""
"4";"Gazebo";"";"gazebo.html"
"4";"Python";"";"python.html"
"4";"ROS";"";"ros.html"
"4";"Sensors";"";""
"4";"Simulation";"";""
"4";"Vision";"";"opencv.html"
"3";"MATLAB";"";"matlab.html"
"3";"Simulink";"";""
"2";"Linux";"";"os.html"
"2";"Nuttx";"";"os.html"
"2";"Robotics";"";""
"1";"Arduino";"";""
"1";"MicroControllers";"";""
"1";"Nvidia";"";""
"1";"RaspberryPi";"";""
"1";"STM32";"";""
